"id","state","year","region","state_calamity","calamity","dcb","rcl","juros","amortizacao","primario","dbp","rec_cor","desp_cor","investimentos","desp_total","rec_previdenciarias","inativos","rec_tributaria","obrig_fin","disp_caixa_bruta","stn_end","stn_sdrcl","stn_rpsd","stn_dprcl","stn_cgpp","stn_pidt","stn_pcrdp","stn_rtdc","capag_idc","capag_pc","capag_il"
"ac2008","ac",2008,"norte",FALSE,FALSE,1011545978.17,2223256744.68,49307203.67,87462472.35,215641041.84,1152523788.32,2791461275.69,2079273853.7,575447020.72,2742183346.77,174473396.48,138326193.63,560163762.03,8850387.44,387703624.66,0.454983879208065,0.0615177155527693,1.57667290085901,0.518394373964167,0.342517374862713,0.209849943621682,1.26131856809917,0.258528809110423,0.454983879208065,0.744869316944417,0.0228277139471198
"ac2009","ac",2009,"norte",FALSE,FALSE,1354792638.61,2453089940.51,55848816.61,91682595.5,-238241336.99,1288407655.27,3091974481.66,2412211875.56,1015103594.88,3519085437.46,222447458.25,161970450.02,588057187.13,12449182.48,465917440.75,0.552280051471874,0.0601410529934863,-1.61485160063652,0.525218270228665,0.281800538745044,0.288456649581284,1.37338297339133,0.234857017309141,0.552280051471874,0.780152582069483,0.0267197176820859
"ac2010","ac",2010,"norte",FALSE,FALSE,1746291245.71,2648933275.05,95702934.93,103288847.53,-420200205.37,1399993068.17,3367652164.48,2739927888.93,1096715381.43,3939988667.89,237524470.41,189876367,714039831.48,11211523.87,334481016.01,0.659243198822,0.075121477892358,-2.11164601962629,0.528512017028279,0.229102480428833,0.278354958319545,1.25094278009859,0.251138023465995,0.659243198822,0.813601807760652,0.033519163520075
"ac2011","ac",2011,"norte",FALSE,FALSE,1889207621.63,2975827933.48,108506541.01,157498881.4,94009198.46,1546678926.38,3771196466.55,3046923229.34,575643335.87,3792691937.17,246434582.21,226850509.09,743492003.95,15533547.22,405984254.9,0.634851094841602,0.0893887107575226,0.353410835043436,0.519747431959643,0.237706427991258,0.151776981997523,1.08633030271151,0.232020619711148,0.634851094841602,0.807946034200497,0.0382614523408701
"ac2012","ac",2012,"norte",FALSE,FALSE,2636362085.86,3281194823.87,118580274.27,250331028.03,-447859717.39,1788207243.54,4181084864.87,3593266006.37,812106234.78,4657789519.18,196695273.84,273842771.68,954773012.8,31356879.53,751151529.63,0.803476241849775,0.112432001786742,-1.21400378518574,0.544986609917573,0.163589018307562,0.17435442959281,0.718278129575204,0.248406116524399,0.803476241849775,0.85940996715017,0.0417450784470155
"ac2013","ac",2013,"norte",FALSE,FALSE,3144566264.64,3700350634.52,143100869.08,234166159.69,-412796110.289999,1994409891.35,4683980123.77,3983856286,891493708.88,5156552725.91,292425607.92,326349624.85,1015486448.49,66232718.09,676302339.03,0.849802241794285,0.101954400010241,-1.09417489155051,0.538978623470019,0.175740234463368,0.172885599404527,0.896050081425427,0.240749417900237,0.849802241794285,0.850528008388197,0.09793359311014
"ac2014","ac",2014,"norte",FALSE,FALSE,3617717818.12,4267230697.3,154438496.45,217909479.14,9169807.63,2321649265.32,5374680310.04,4470397050.43,1104243702.17,5793050231.74,416678814.85,416389998.49,1157315833.57,95547969.73,561134241.74,0.847790540222968,0.0872575217987617,0.0246269839804287,0.544064624110661,0.202282537637908,0.190615247235364,1.00069361983008,0.246851571302047,0.847790540222968,0.831751247061005,0.170276491118629
"ac2015","ac",2015,"norte",FALSE,FALSE,4245948557.36,3949107687.38,187151372.97,260535882.44,-143987048.42,2454398031.26,5102591982.15,4570803605.21,396462124.8,5231991530.18,375534456.72,519782245.69,1251572212.08,161658708.33,503733050.9,1.07516656760934,0.113364154854692,-0.32162418447256,0.621506989820363,0.116344613085945,0.0757765226707774,0.722484193782891,0.259052839337683,1.07516656760934,0.895780736770584,0.320921384930313
"ac2016","ac",2016,"norte",FALSE,FALSE,3827877107.27,4442141070.9,180307453.55,284471691.5,373987378.85,2613215242.89,5694332672.56,4829741174.53,313929472.23,5432073338.26,326354971.81,601658046.39,1307950533.82,134384988.62,703563299.63,0.861718942774245,0.104629532838279,0.8046561099676,0.588278310206963,0.179014043773088,0.0577918324516874,0.542426007211501,0.255748160681337,0.861718942774245,0.848166317679977,0.191006251591964
"al2008","al",2008,"nordeste",FALSE,FALSE,6955421589,3528416347,164486045.32,333730558.99,467817600,1945466761,4742253203.41,3615061289.7,369107410.85,4319129682.59,204044912,362359310.86,1837031401.76,581020848,543575623,1.97125874754372,0.141201194902524,0.938984361325932,0.551371088237394,0.311804371594358,0.0854587470105,0.56310105987268,0.465213531670308,1.97125874754372,0.762308787540178,1.06888687317018
